ResponseId,"For course assessments, like exams, quizzes, etc., how did you manage student academic integrity for online classes during the 2020/2021 academic year? Please explain your decision making process",Code 1,Code 2,Code 3,Code 4,Code 5,Code 6,Code 7,Code 8
R_3L8Yuota6qEPA2Z,All of my class assignments are written papers in different formats. I have students submit assignments using safeassign on blackboard.,written_papers,blackboard,blackboard->safe_assign,,,,,
R_elKRE1Mhkz3aB7H,"Allowed for ""open book"" quiz taking but put a time limit (via Blackboard) in place, hoping to avoid conditions where a student was completely unfamiliar with the material and attempting to take the quiz based only on the textbook. Also included quiz questions and extra credit questions that were based only on information provided in lecture and not from materials provided.",blackboard,blackboard->open_book,,,,,,
R_22G2wZhQPr0NOMF,"Honor system for online final exam, kept overall value of final exam <20% of course grade. Avoided other use of traditional exams and quizzes in lieu of project work.",projects,tests_worth_little,honor_code,,,,,
R_1jm0AccugHTKh4W,We had them sign off on their understanding of the academic integrity code. They had to sign their name and thus were responsible if anything happened. They were explicitly told what was open book or closed book and any papers were submitted via TurnItIn.com.,turn_it_in,sign_integrity_code,,,,,,
R_3HHYAi3jlMWGeIl,self-proctored.,self_proctored,,,,,,,
R_1cYZmUuFGQPtR2U,I redesigned courses so that graded assignments were papers rather than tests.,written_papers,,,,,,,
R_2tm5hQExW5ForsK,,,,,,,,,
R_a9PJA7VBZp1N9O9,Honor code,honor_code,,,,,,,
R_9RCP2gPmQF9rHK9,"With compassion, patience, and care. Instead of increasing student stress by enforcing a police state in my online classroom, I created several smaller assignments that required students to reflect and evaluate their own learning throughout the course.",smaller_assignments,,,,,,,
R_WBuSYDYA2xuDQYh,"""Large class: gave up. Online exam open for 2 days (to accommodate student in different time zones), so cheating was widespread (Chegg, group channels discussion etc.). Some we caught, were able to prove and sanction, most we did not. Academic integrity was discussed in class beforehand, it was made clear the class would not be curved (thus not being unfair to the non-cheaters) and an academic integrity statement was included in the exam. Smaller class: in person proctoring via Bb collaborate (microphone and camera open) to mimic face-to-face exam conditions as much as possible. Student scan and email exam at the end of the exam time. Still included a fair amount of trust (student had connection issues, etc.), but worked well (upperclassmen), no cheating suspected.""",blackboard,blackboard->proctored_exam,exam_over_days,exam_over_days->caught_cheating,,,,
R_1gcjj4iwoLqpxgB,"""Applied the GW honor code. Students will very similar and identical solutions were asked to meet with the instructor and explain the similarities.""",honor_code,,,,,,,
R_1jZC3KQIUihjpOR,"I would email in-class quizzes and put time limits on how long students had to respond, without telling them this would be the method beforehand. The quizzes had unlimited retakes and counted for a small fraction of the overall grade.",timed_tests,,,,,,,
R_2Ygpa6T91hXAiJr,My goal of quizzes (every class) is to make sure people had incentive to do the homework assignment. During Covid I made the quizzes take home and open book; I used Backboards timing mechanism to make it difficult to look up all the answers. I made them open book bc I could not enforced closed book. In class I don’t worry about people cheating by looking things up online bc they would have to worry about their peers seeing the screens. Still a better software program would be an improvement.,blackboard,blackboard->open_book,,,,,,
R_Y5NExEgDkOUjIn7,answer keys are not provided to students. quizzes are timed and students are encouraged to submit their work within 2 hrs of completing the online quiz.,timed_tests,no_answer_keys,,,,,,
R_C3Vzye9ndoMM88x,"The quizzes and exams were administered through Blackboard. Once started, there was a timer that forced completion. I was available through Blackboard Collaborate Ultra if there were questions. Otherwise, I had no choice but to trust the students.",blackboard,timed_tests,trust_in_students,,,,,
R_2dgVaNawsger4T7,"tried to be consistent with SON policy and handbook, reported violations and referred to the AI office as needed",SON_policy,,,,,,,
R_2fcSVGg2U6c2MXb,"""Remote: Essay answers to exams. We are a lab class where production work is where the majority of the grading is based. Only a midterm to go over videography and editing terms was uses. """,essay_based_exam,,,,,,,
R_2z5Rfh5yoJDnxQI,I put time limits that would prohibit students cheating,timed_tests,,,,,,,
R_vCDwu3GQIi0JCHn,"""Each exam is timed (30-45 min). Each question is presented """"one at a time"""" and has to be submitted prior to getting to the next question. There is no choice to scroll back and change the answers after they are submitted. The questions are randomized for each student so that the order in which the questions are presented differs. Upon submission of the exam, the timing for answering the question is evaluated for an adjustment of the final grade. """,timed_tests,timed_tests->one_q_at_a_time,,,,,,
R_2al47N2wbxXFDh1,"I did not worry about it that much, given the circumstances and stress associated with the pandemic.",unconcerned,,,,,,,
R_12sxDUBTRANlxAh,I posted instructions online and asked the students to follow them. For timed tests I required them to write their start times and end times on the test. There was no monitoring or enforcement.,timed_tests,,,,,,,
R_usPmuq57yl9S5FL,"I hold an online zoom session for exams and asked everybody to turn on their videos. It's mandatory, and I framed it as a benefit to them - they'll have real time access to me to ask questions about the exam questions, which usually happens during a real exam. Other than that, I trust their own integrity. We are all adults.",zoom,zoom->video_on,,,,,,
R_2zcJyOL3rOl9eCd,"The occasional online class was lecture format. I encouraged students to ask questions and put cameras in when speaking, but that's about it.",lecture_format,,,,,,,
R_3DhdmO3C0hKAjmF,Honor code,honor_code,,,,,,,
R_2qgbEu23HZIOAqU,I reminded my students of the honor code and trusted them to follow it.,honor_code,,,,,,,
R_26nmfVuk8nYOOT7,I did not use online assessments. Students submitted assignments through Blackboard.,no_assessments,blackboard,blackboard->assignments,,,,,
R_3LbBRoje9wOhQRA,I trusted and checked submissions for copying,checked_individual_assignments,,,,,,,
R_3DcIECQmJC5rLan,"""I was aware cheating might take place but only recently became aware of the role of sites like Course Hero (where I have found exam questions in the """"tutoring"""" Q and A). I did look at test performance vs overall performance and didn't find a big difference. Honestly the students who are cheating in my class don't know when someone else (including a tutor) are giving them the right answer so it doesn't seem to help them much (or at least in the cases where I suspect it, it hasn't). Looking into one more thing was just too much for me!!""",cheating_did_not_help,,,,,,,
R_1eKbeLSPmt46YIu,N/A,,,,,,,,
R_3fAw4HjiCRicvSV,"I decided to replace my exams (midterms and finals) with two-week take-home projects, with many scaffolded layers.",projects,,,,,,,
R_3nIU4hnDI1oIjfQ,"I did not give quizzes, but I didn't do so before the pandemic, either. I changed my exams by removing identifications and connoisseurship-type questions and used only essay questions instead.",essay_based_exam,,,,,,,
R_080f7ur83jJNwu5,"""did all exams and assessments in the virtual space one-on-one with each student. """,one_on_one_exam,,,,,,,
R_pJyGl4gPSX7l7AR,"""I am very concerned about valid and reliable foreign-language testing. The challenge before me was to create valid and reliable tests that were also cheat-proof. We had to deploy the tests across our Russian language program. That's about 70 students. In the lower-division courses, that involves testing a lot of material acquired through contextualized memorization. We met that challenge by creating tasks that were not googleable. These included dictation, unrestricted cloze activities, and short answers to unpredictable prompts. Students had to write their answers out by hand and photograph their work to submit it. Handwriting is normally how we do tests face-to-face; all Russians handwrite script. That way of doing things made forays to cut and paste from Google unmanageable. Now, were the tests that we came up with reliable? Any new test is sure to have reliability problems. We compared Covid test results with results from similar classes in the past. For students with long track records in our courses, we were able to compare their current performance with previous performance. Finally, we compared written work to oral work. Face-to-face oral work is extremely hard to cheat on. We found that the covid test results correlated well with all those measures, except the speaking results. To our amazement the results on Oral Proficiency Interviews (OPI) for all levels but first year were significantly better than in previous years. We are at a loss to explain that. But we are not complaining. And you can’t cheat on a live OPI. It’s all too obvious when people are reading off the screen. And a slightly unexpected question does the cheater in. That was not the case with this contingent of students.""",oral_exams,written_language_proficiency,,,,,,
R_1q9uhFdqxnWPM7z,See answer to previous question.,same_as_previous,,,,,,,
R_0U0B2olgqyGcKSB,My class only requires paper submission.,written_papers,,,,,,,
R_8ijttwuU0cKUceZ,"Honor code, SafeAssign",honor_code,safe_assign,,,,,,
R_27pdl2TZQfXflW7,Scored students based on academic papers and writing versus exams and quizzes.,written_papers,,,,,,,
R_2SDp29v28ZlDM4f,Students write research papers.,written_papers,,,,,,,
R_27UWM1EiYGms76k,"""1) For quizzes, I made them open booked/timed and allowed retakes to reduce student's incentive to cheat. 2) I reduced the number of exams used as assessments in my classes. In one class, I removed exams altogether and used only other projects for assessment. The one exam that I did give in 2020/2021 was open booked/timed (students could complete the exam basically anytime during the finals period, but once started it had to be completed within 2 hours). 3)For any assignment for which collaboration was not allowed, I had students indicate (via a yes/no multiple choice question) that they had not used any unallowed resources, such as talking to other people about the work.""",timed_tests,projects,,,,,,
R_tYfxFu9gfkt6vW9,"In my field, it is possible to frame questions in such a way as to make rapid consultation with external resources difficult within a limited time period. I give a limited time for exams, and create questions that don't allow for easy copying or using references. I use more questions that require the application of knowledge rather than rote memory.",timed_tests,application_based_questions,,,,,,
R_3O1ggqdW2o1ED6O,"I ran students' papers and exams through SafeAssign on Blackboard. Though I mostly used this as a ""deterrent"" tool rather than a punitive one. That is, I told students I reserved the right to do it (to deter plagiarism), but I didn't really go through to read the SafeAssign reports and check if anyone had plagiarized (to penalize plagiarizers).",safe_assign,,,,,,,
R_3D0jDp50GNynGGf,most of my assignments are papers - I use SafeAssign to detect plagiarism. This has worked fine for me for 5 years.,written_papers,safe_assign,,,,,,
R_2e3uabfZSi1lfTm,"For some assignments, I asked students to select a topic of their choosing for their assignment, meaning that students' project varied and therefore were less conducive to plagiarism. For midterms, rather than conduct an exam, I asked students to complete a self-evaluation of their strengths and weaknesses so far. Because the grade was in their hands, there was not really a way for them to ""game"" the system. For final projects, I asked students to include their own rubric when they submitted their project proposals, so I graded according to metrics that we had determined jointly, allowing students to invest in their own assessment and be held accountable to their own understandings of success in the classroom.",projects,students_designed_rubric,,,,,,
R_1oALjHGBMZK2Tl0,See earlier explanation,same_as_previous,,,,,,,
R_1NwwvkujyuX4mpG,N/A. We just did an online portfolio show,portfolio_show,,,,,,,
R_UxQuctG4213Pcu5,review assignments for plagiarism or cheating by inspection,checked_individual_assignments,,,,,,,
R_RCWUMNsLphkZk0F,"I allowed open book, open note, open internet. They were allowed to look things up if they didn't remember them. For worksheets, they also worked in groups.",open_book,open_note,open_internet,,,,,
R_tEQEo869tq2tzOh,I have online quizzes. They had time restrictions on them. 20 minutes. I changed the questions all the time. I couldn’t stop chegg or course hero to stop publishing my questions online.,timed_tests,,,,,,,
R_3NPBh2R2iMt7VeW,"It was a graduate course, so exams were open book. Students agrred (informally) to provide original answers.",open_book,,,,,,,
R_3mgW1TjgfrdCTjI,"I offer open book exam. I ensure that they cannot search for answers online. Time is pretty tight. If they cheat by asking with other student, they won't be able to finish the exam.",open_book,timed_tests,,,,,,
R_3sytupwrEflBlTI,Just adherence to the honor code.,honor_code,,,,,,,
R_tKyvpEOLSwBjVbH,I write the quizzes and exams such that notes will not be that helpful. They either know the material or they don't. Plus they have a time limit.,timed_tests,application_based_questions,,,,,,
R_w4NEuNRkKT8nOy5,"I created different versions of exam questions. If a student answered a different version of the question than what was on their exam, I would identify that as cheating.",test_versions,,,,,,,
R_30jx8vSOILPjMiF,open book and made tests harder/more long papers,open_book,harder_tests,,,,,,
R_1DRKoPpuRbnxnOs,When I reviewed assignment I looked for any unusual patterns.,checked_individual_assignments,,,,,,,
R_3PpJZEczV5RnR6u,With time limits - nothing else!,timed_tests,,,,,,,
R_233o6HL3YqVM3cs,"I just trusted that students would do their own work. I shifted several assignments to being larger group activities that we did as a class during class, or in small-group breakout sessions, to try to minimize outside-of-class work for students during this challenging year.",projects,trust_in_students,,,,,,
R_2tM2H3FnzTmXrgs,"I told students that I expected them to be adults, and to follow the GW expectations of integrity and honesty. This was after I told them my opinions of the proctoring system to be an invasion of their privacy. They appreciated my opinion and cooperated with taking exams with honesty.",honor_code,,,,,,,
R_2vdidSYAV1JmYIt,"I eliminated exams from my courses entirely. Small quizzes and other graded assignments were timed or done ""live"" over Zoom/MS Teams where I could monitor students somewhat effectively. I am sure this approach was not 100% successful at preventing cheating, but my method did successfully thwart a number of instances.",timed_tests,zoom,zoom->video_on,,,,,
R_211cDsxTjtUvN6h,"My class was mostly graded based on projects, home works, and online in-class presentations.",projects,presentations,,,,,,
R_3iRsl0B3QrTEfxN,I trusted them. I couldn't really come up with a better alternative.,trust_in_students,,,,,,,
R_3qVgAjBxR2F6oXx,"""I have answered this elsewhere in the survey, but to summarize: 1. Limited time, so no ability to look up answers. 2. Zoom recording of the student taking the exam, with camera and microphone on. 3. Early in the exam, I try to find a student who is doing something questionable and raise the issue, e.g. if the student has the microphone on mute and is moving lips. 4. I announce that I will pursue cheating aggressively. """,timed_tests,zoom,zoom->video_on,zoom->mic_on,,,,
